Application Date,Permit Status,Permit Type,Event Category,Event Sub-Category,Name of Event,Year-Month-App#,Event Start Date,Event End Date,Event Location - Park,Event Location - Neighborhood,Council District,Precinct,Organization,Attendance
09/27/2021 12:00:00 AM,Complete,Special Event,Free Speech,,Every Child Matters March,S21SE111,09/30/2021 12:00:00 AM,09/30/2021 12:00:00 AM,Occidental Park,Downtown;First Hill;Pioneer Square,3;7,East;Traffic;West,Mopistun Four Directions,100
08/03/2021 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Walk / Run MS - Seattle,S22AP003,04/24/2022 12:00:00 AM,04/24/2022 12:00:00 AM,Gas Works Park,Fremont;University District;Wallingford,4,North,National MS Society,4000
12/13/2021 12:00:00 AM,Cancelled,Special Event,Athletic,Run/Walk,Fiesta 5K Ole,S22AP015,04/30/2022 12:00:00 AM,04/30/2022 12:00:00 AM,Volunteer Park,Capitol Hill,3,East,Fizz Events,3000
12/30/2021 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Tenacious Ten,S22AP021,04/09/2022 12:00:00 AM,04/09/2022 12:00:00 AM,Gas Works Park,Cascade / Eastlake / South Lake Union;Fremont;Montlake / Portage Bay;Queen Anne;Wallingford,3;4;7,East;North;Traffic;West,Snohomish Running Company,3100
01/06/2022 12:00:00 AM,Complete,Special Event,Commercial,,April Night Market,S22AP024,04/08/2022 12:00:00 AM,04/09/2022 12:00:00 AM,Magnuson Park,Laurelhurst / Sand Point,4,North,NW Marketplaces,7205
01/07/2022 12:00:00 AM,Complete,Special Event,Commercial,,SIFF 2022 Opening Night Gala,S22AP027,04/14/2022 12:00:00 AM,04/14/2022 12:00:00 AM,,First Hill,7,West,SIFF,2050
01/14/2022 12:00:00 AM,Complete,Special Event,Free Speech,,Holy Thursday Pilgrimage,S22AP037,04/14/2022 12:00:00 AM,04/14/2022 12:00:00 AM,,Capitol Hill;Central Area / Squire Park;First Hill;International District;Judkins Park,3,East;Traffic,Catholic Archdiocese of Seattle,170
01/18/2022 12:00:00 AM,Complete,Special Event,Commercial,,Boats Afloat Show,S22AP041,04/28/2022 12:00:00 AM,05/01/2022 12:00:00 AM,,Cascade / Eastlake / South Lake Union,3,West,Northwest Yacht Brokers Association,5370
01/19/2022 12:00:00 AM,Complete,Special Event,Athletic,Water,UW Rowing Husky Open Regatta,S22AP044,04/02/2022 12:00:00 AM,04/02/2022 12:00:00 AM,,Montlake / Portage Bay,3;4,East;North;Traffic,University of Washington,750
02/17/2022 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,PurpleStride,S22AP071,04/30/2022 12:00:00 AM,04/30/2022 12:00:00 AM,Magnuson Park,Laurelhurst / Sand Point,4,North,Pancreatic Cancer Action Network,2110
03/11/2022 12:00:00 AM,Cancelled,Valet Parking,,,Red Carpet Valet - Janet True,S22AP088,04/11/2022 12:00:00 AM,04/11/2022 12:00:00 AM,,Madrona / Leschi,3,East,Red Carpet Valet,15
03/31/2022 12:00:00 AM,Complete,Valet Parking,,,Butler Valet - Seattle Children's Research Institute,S22AP136,04/27/2022 12:00:00 AM,04/27/2022 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Butler Valet,100
04/06/2022 12:00:00 AM,Complete,Valet Parking,,,Red Carpet Valet - The Extra Ingredient (4.13),S22AP137,04/13/2022 12:00:00 AM,04/13/2022 12:00:00 AM,,Queen Anne,7,West,Red Carpet Valet,60
04/08/2022 12:00:00 AM,Issued,Special Event,Community,,Chinatown-ID Block Party 2022,S22AU144,08/20/2022 12:00:00 AM,08/20/2022 12:00:00 AM,,International District,2,East,Seattle Chinatown International District Preservation and Development Authority (SCIDpda),390
04/18/2022 12:00:00 AM,Issued,Special Event,Community,,Celebrate Little Saigon,S22AU150,08/20/2022 12:00:00 AM,08/20/2022 12:00:00 AM,,International District,2,East,Friends of Little Saigon,520
04/29/2022 12:00:00 AM,Issued,Special Event,Commercial,,Seattle Love Festival,S22AU163,08/13/2022 12:00:00 AM,08/13/2022 12:00:00 AM,OTHER,Judkins Park,3,East,Kiks for Cool Kids,1025
05/03/2022 12:00:00 AM,Issued,Special Event,Community,,Umoja Fest Africatown Heritage Festival,S22AU174,08/05/2022 12:00:00 AM,08/07/2022 12:00:00 AM,Multiple Parks,Judkins Park;North Beacon Hill / Jefferson Park,3,East,Umoja Peace Center,8450
05/04/2022 12:00:00 AM,Issued,Special Event,Community,,Lake City Summer Festival,S22AU177,08/06/2022 12:00:00 AM,08/06/2022 12:00:00 AM,,Cedar Park / Meadowbrook;Lake City / Olympic Hills / Victory Heights,5,North,Pioneer Parade Association,5400
05/04/2022 12:00:00 AM,Issued,Special Event,Community,,Lake City Summer Parade,S22AU178,08/06/2022 12:00:00 AM,08/06/2022 12:00:00 AM,,Cedar Park / Meadowbrook;Lake City / Olympic Hills / Victory Heights,5,North;Traffic,Pioneer Parade Association,8400
05/05/2022 12:00:00 AM,Issued,Special Event,Community,,South Lake Union Block Party,S22AU181,08/05/2022 12:00:00 AM,08/05/2022 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Bold Hat Productions,3025
05/17/2022 12:00:00 AM,Issued,Special Event,Community,,Seattle Design Festival Block Party,S22AU189,08/20/2022 12:00:00 AM,08/21/2022 12:00:00 AM,Lake Union Park,Cascade / Eastlake / South Lake Union,3,West,Seattle Design Festival,8200
05/18/2022 12:00:00 AM,Issued,Special Event,Community,,Greatest Party Known to Humankind (GPK),S22AU190,08/06/2022 12:00:00 AM,08/06/2022 12:00:00 AM,,Georgetown,2,South,GPK,1550
05/19/2022 12:00:00 AM,Issued,Special Event,Commercial,,Sunset Supper at Pike Place Market,S22AU191,08/19/2022 12:00:00 AM,08/19/2022 12:00:00 AM,,Downtown,7,West,Pike Place Market Foundation,1600
05/19/2022 12:00:00 AM,Issued,Special Event,Community,,Big Day of Play,S22AU192,08/20/2022 12:00:00 AM,08/20/2022 12:00:00 AM,,Columbia City,2,South,Seattle Parks & Recreation,
05/19/2022 12:00:00 AM,Issued,Special Event,Community,,Magnolia Village Car Show,S22AU193,08/21/2022 12:00:00 AM,08/21/2022 12:00:00 AM,,Magnolia,7,West,Magnolia Chamber of Commerce,886
05/26/2022 12:00:00 AM,Issued,Special Event,Community,,Loyal Heights Community Center Tasty Tunes,S22AU199,08/27/2022 12:00:00 AM,08/27/2022 12:00:00 AM,,Sunset Hill / Loyal Heights,6,North,Seattle Parks and Recreation,
05/31/2022 12:00:00 AM,Cancelled,Special Event,Community,,Meet the Makers,S22AU202,08/06/2022 12:00:00 AM,08/06/2022 12:00:00 AM,,Madrona / Leschi,3,East,Meet the Makers,375
06/01/2022 12:00:00 AM,Complete,Special Event,Community,,Brews and Tunes,S22AU205,08/02/2022 12:00:00 AM,08/30/2022 12:00:00 AM,Freeway Park,First Hill,7,East;West,Freeway Park Association,825
06/06/2022 12:00:00 AM,Issued,Special Event,Free Speech,,March to the Game for Recovery Day at the Mariners,S22AU209,08/07/2022 12:00:00 AM,08/07/2022 12:00:00 AM,Occidental Park,Pioneer Square,7,West,Washington Recovery Alliance,225
06/09/2022 12:00:00 AM,Issued,Special Event,Commercial,,Reuben's Brews 10th Anniversary Party,S22AU216,08/06/2022 12:00:00 AM,08/06/2022 12:00:00 AM,,Ballard,6,North,Reuben's Brews,2045
06/12/2022 12:00:00 AM,Issued,Special Event,Commercial,,Ballard Bites & Brews,S22AU220,08/28/2022 12:00:00 AM,08/28/2022 12:00:00 AM,,Ballard,6,North,Ballard Food Bank,1090
06/14/2022 12:00:00 AM,Issued,Special Event,Community,,Duwamish River Festival 2022,S22AU221,08/06/2022 12:00:00 AM,08/06/2022 12:00:00 AM,,South Park,1,Southwest,Duwamish River Community Council,540
06/15/2022 12:00:00 AM,Issued,Special Event,Commercial,,X-Ray Auto 20th Anniversary,S22AU224,08/20/2022 12:00:00 AM,08/20/2022 12:00:00 AM,,Ballard,6,North,X-Ray Auto Vintage Volvo Repair,181
06/15/2022 12:00:00 AM,Issued,Special Event,Commercial,,Feast in the Street,S22AU225,08/20/2022 12:00:00 AM,08/20/2022 12:00:00 AM,,North Beacon Hill / Jefferson Park,2,South,Seattle Neighborhood Greenways,480
06/28/2022 12:00:00 AM,Issued,Special Event,Community,,Equinox Studios Very Out in the Open House,S22AU238,08/13/2022 12:00:00 AM,08/13/2022 12:00:00 AM,,Georgetown,2,South,Georgetown Community Development Authority,950
06/30/2022 12:00:00 AM,Cancelled,Special Event,Commercial,,DCG ONE Block Party,S22AU239,08/27/2022 12:00:00 AM,08/27/2022 12:00:00 AM,,Duwamish / SODO,2,South,DCG One,250
07/01/2022 12:00:00 AM,Issued,Special Event,Community,,Seafair Float Concerts,S22AU241,08/19/2022 12:00:00 AM,08/20/2022 12:00:00 AM,Lake Union Park,Cascade / Eastlake / South Lake Union,3,West,Seafair,12220
07/01/2022 12:00:00 AM,Issued,Special Event,Community,,Admiral Junction Funktion,S22AU244,08/27/2022 12:00:00 AM,08/27/2022 12:00:00 AM,,Alki / Admiral,1,Southwest,West Seattle Chamber of Commerce,570
